lat,lon
37.06607,-94.44704533
37.06607,-94.44704567
37.0660695,-94.44704617
37.06606967,-94.44704633
37.06606983,-94.4470465
37.06606983,-94.44704667
37.0660695,-94.44704667
37.06606933,-94.44704683
37.066069,-94.44704733
37.06606867,-94.44704733
37.06606917,-94.447047
37.0660695,-94.44704683
37.06607,-94.4470465
37.0660705,-94.44704617
37.0660705,-94.4470425
37.0660695,-94.4470265
37.06606733,-94.44699667
37.06606467,-94.44695483
37.06606283,-94.446905
37.06606383,-94.446853
37.06607183,-94.44680533
37.06608633,-94.44676517
37.0661135,-94.44673417
37.06615233,-94.44671633
37.06619883,-94.44670783
37.06625083,-94.4467015
37.06630683,-94.44669783
37.06636917,-94.4466955
37.06643783,-94.446694
37.06651167,-94.4466915
37.06659067,-94.44668717
37.06667117,-94.44668433
37.066749,-94.44668233
37.06682033,-94.4466785
37.06688017,-94.44667717
37.06692583,-94.44667567
37.0669605,-94.4466875
37.06698483,-94.44670917
37.066996,-94.446743
37.06699967,-94.44679
37.06700017,-94.44685217
37.06699917,-94.44692683
37.06699867,-94.44701167
37.06699683,-94.44710217
37.06699467,-94.44719233
37.066995,-94.44728133
37.066994,-94.4473635
37.06699433,-94.447439
37.06699617,-94.44750633
37.0669965,-94.4475695
37.067003,-94.4476285
37.06701933,-94.44767833
37.06703067,-94.447722
37.06703167,-94.447757
37.067022,-94.44777967
37.06700783,-94.44779067
37.06699067,-94.44779083
37.06697267,-94.44778017
37.06696367,-94.447767
37.06695917,-94.44775183
37.066959,-94.44773583
37.0669645,-94.44771733
37.066978,-94.44768967
37.06699183,-94.44765233
37.0669985,-94.44760283
37.06700083,-94.44754433
37.06699983,-94.4474805
37.066996,-94.44740883
37.066993,-94.44732933
37.06699517,-94.44724283
37.0669965,-94.44715017
37.06699533,-94.44705267
37.06699367,-94.44695867
37.06699183,-94.44688067
37.06699033,-94.44682083
37.06698933,-94.44677633
37.066993,-94.44674
37.06700717,-94.446706
37.0670345,-94.44667533
37.06707767,-94.4466565
37.06713467,-94.44664883
37.06719967,-94.44664567
37.06726883,-94.44664567
37.06733883,-94.44664583
37.06740817,-94.4466445
37.06747567,-94.44664483
37.0675425,-94.4466475
37.06761133,-94.44664683
37.06767983,-94.44664567
37.06774783,-94.4466455
37.06781667,-94.446642
37.06788583,-94.44663717
37.067954,-94.4466325
37.068023,-94.4466305
37.068096,-94.44662917
37.06817367,-94.4466265
37.06825433,-94.44662433
37.06833767,-94.44662333
37.068423,-94.44662067
37.06850917,-94.44661967
37.06859467,-94.44661783
37.06867733,-94.446612
37.06875817,-94.446602
37.0688355,-94.44659317
37.0689105,-94.446587
37.06897867,-94.44657883
37.06903733,-94.44656817
37.0690855,-94.44656083
37.069121,-94.44655567
37.06914183,-94.446553
37.06916033,-94.44655283
37.069182,-94.446562
37.06920283,-94.44658733
37.06922083,-94.44663583
37.06923017,-94.446704
37.0692345,-94.446792
37.0692385,-94.4468925
37.06924017,-94.4470055
37.0692395,-94.44712883
37.06924,-94.4472615
37.06923867,-94.447401
37.06923817,-94.4475475
37.06923883,-94.447699
37.0692385,-94.4478545
37.0692395,-94.44801367
37.06924133,-94.44817633
37.0692435,-94.44834183
37.0692475,-94.44850517
37.06925217,-94.4486685
37.06925483,-94.4488335
37.069255,-94.44900233
37.06925733,-94.44917633
37.06926067,-94.44935167
37.06926083,-94.44952867
37.06926167,-94.44970867
37.069263,-94.4498915
37.069263,-94.45007683
37.069265,-94.45026367
37.06926483,-94.45045017
37.06926817,-94.45063583
37.0692695,-94.45081933
37.06927333,-94.45100267
37.06927717,-94.45118533
37.0692795,-94.45136717
37.06927917,-94.45154783
37.0692775,-94.45173017
37.06927467,-94.45191667
37.06927467,-94.45210767
37.06927417,-94.45230467
37.06927383,-94.45250633
37.06927517,-94.4527125
37.069276,-94.45292083
37.06927617,-94.45313017
37.06927667,-94.4533385
37.06927733,-94.45354417
37.06927783,-94.453747
37.069279,-94.45394883
37.06928133,-94.4541495
37.06928283,-94.454349
37.06928717,-94.45454683
37.06928933,-94.45474417
37.06929083,-94.4549405
37.069291,-94.4551365
37.06929317,-94.45533233
37.069295,-94.45552733
37.06929733,-94.45572233
37.06930067,-94.45591667
